名称,最低价,最高价,产品图片链接
宝来,9.88万,15.60万,http://img2.bitautoimg.com/autoalbum/files/20190102/242/0319542422_6.png
朗逸,9.99万,16.19万,http://img4.bitautoimg.com/autoalbum/files/20191203/135/0340111354_6.jpg
速腾,12.89万,19.19万,http://img2.bitautoimg.com/autoalbum/files/20190122/561/1056225614_6.png
桑塔纳,8.69万,11.59万,http://img4.bitautoimg.com/autoalbum/files/20190102/343/0954043434_6.png
迈腾,18.61万,30.99万,http://img1.bitautoimg.com/autoalbum/files/20191218/868/1119248681_6.jpg
探岳,18.59万,31.39万,http://img2.bitautoimg.com/autoalbum/files/20191203/330/0341563309_6.jpg
凌渡,14.29万,19.69万,http://img1.bitautoimg.com/autoalbum/files/20190102/771/0331377716_6.png
途岳,16.58万,22.38万,http://img2.bitautoimg.com/autoalbum/files/20190114/700/0426047002_6.png
高尔夫,14.13万,23.42万,http://img2.bitautoimg.com/autoalbum/files/20180802/560/0312155601_6.jpg
帕萨特,18.49万,28.29万,http://img1.bitautoimg.com/autoalbum/files/20190122/686/0929086865_6.png
途观L,21.88万,31.18万,http://img4.bitautoimg.com/autoalbum/files/20190104/175/0310091757_6.png
途昂,29.99万,50.59万,http://img3.bitautoimg.com/autoalbum/files/20190102/298/0407052987_6.png
途铠,11.49万,15.99万,http://img2.bitautoimg.com/autoalbum/files/20190314/804/0324388049_6.png
探歌,13.58万,20.38万,http://img4.bitautoimg.com/autoalbum/files/20190102/642/1013046423_6.png
一汽-大众CC,24.68万,30.18万,http://img1.bitautoimg.com/autoalbum/files/20190102/268/0322402685_6.png
探影,11.49万,15.99万,http://img1.bitautoimg.com/autoalbum/files/20191028/545/1021325456_6.jpg
途观,19.48万,23.18万,http://img1.bitautoimg.com/autoalbum/files/20181213/999/0143029995_6.jpg
探岳X,23.58万,29.58万,http://img1.bitautoimg.com/autoalbum/files/20200619/889/0415468894_6.jpg
Polo,9.99万,12.39万,http://img1.bitautoimg.com/autoalbum/files/20190624/639/0943156395_6.jpg
途昂X,28.99万,43.99万,http://img1.bitautoimg.com/autoalbum/files/20190416/056/1215330566_6.jpg
辉昂,34.00万,63.90万,http://img2.bitautoimg.com/autoalbum/files/20190102/382/0958523823_6.png
途锐,56.98万,82.18万,http://img3.bitautoimg.com/autoalbum/files/20180911/623/0542406239_6.png
威然,28.68万,39.98万,http://img2.bitautoimg.com/autoalbum/files/20200417/884/0409028847_6.jpg
途安L,15.18万,19.48万,http://img2.bitautoimg.com/autoalbum/files/20190102/868/0957468688_6.png
蔚领,12.59万,14.97万,http://img3.bitautoimg.com/autoalbum/files/20181015/661/0702536610_6.png
甲壳虫,17.88万,25.58万,http://img2.bitautoimg.com/autoalbum/files/20180802/414/1155234146_6.png
高尔夫·嘉旅,12.88万,19.28万,http://img3.bitautoimg.com/autoalbum/files/20190114/038/0417080388_6.png
高尔夫(进口),20.98万,37.28万,http://img3.bitautoimg.com/autoalbum/files/20190322/481/0305294819_6.png
帕萨特 插电混动,24.39万,25.39万,http://img3.bitautoimg.com/autoalbum/files/20190122/077/0932250776_6.png
途观L 插电混动,26.58万,32.58万,http://img4.bitautoimg.com/autoalbum/files/20180927/073/0409530731_6.png
探岳GTE 插电混动,24.98万,25.98万,http://img3.bitautoimg.com/autoalbum/files/20200414/529/0201435292_6.jpg
Tiguan,23.98万,35.08万,http://img1.bitautoimg.com/autoalbum/files/20180802/160/0459231608_6.png
蔚揽,24.38万,39.28万,http://img2.bitautoimg.com/autoalbum/files/20181010/893/0543208937_6.png
朗逸纯电,14.89万,14.89万,http://img2.bitautoimg.com/autoalbum/files/20190326/692/0551096920_6.png
迈腾GTE 插电混动,25.39万,26.89万,http://img2.bitautoimg.com/autoalbum/files/20200102/851/0312518518_6.jpg
夏朗,24.68万,34.38万,http://img1.bitautoimg.com/autoalbum/files/20180802/637/1155526374_6.png
宝来·纯电,13.68万,14.68万,http://img4.bitautoimg.com/autoalbum/files/20190322/458/0327234589_6.png
迈特威,42.80万,50.68万,http://img1.bitautoimg.com/autoalbum/files/20190305/656/0517366561_6.png
凯路威,35.50万,38.20万,http://img2.bitautoimg.com/autoalbum/files/20180810/466/1203504668_6.png
高尔夫·纯电,14.77万,16.88万,http://img2.bitautoimg.com/autoalbum/files/20190322/261/0301332617_6.png
蔚揽 插电混动,30.18万,30.18万,http://img1.bitautoimg.com/autoalbum/files/20181218/969/1159409695_6.png
高尔夫 纯电动(进口),24.08万,24.08万,http://img2.bitautoimg.com/autoalbum/files/20200415/621/0223256216_6.jpg
途锐 插电混动,暂无,暂无,http://img4.bitautoimg.com/autoalbum/files/20190528/026/0617560266_6.jpg
Polo(海外),暂无,暂无,http://img4.bitautoimg.com/autoalbum/files/20190624/498/0943064989_6.jpg
