客户ID,产品名称,订单日期
11000,头盔,2015/11/4
11000,山地自行车,2015/7/22
11000,山地自行车,2013/7/22
11000,挡泥板,2015/7/22
11000,旅行自行车,2015/11/4
11000,车胎和内胎,2015/11/4
11000,车胎和内胎,2015/11/4
11000,骑行服,2015/11/4
11001,公路自行车,2016/6/12
11001,头盔,2016/6/12
11001,山地自行车,2013/7/18
11001,山地自行车,2015/7/20
11001,帽子,2015/7/20
11001,挡泥板,2015/7/20
11001,水壶和水壶架,2015/7/20
11001,水壶和水壶架,2016/6/12
11001,水壶和水壶架,2015/7/20
11001,水壶和水壶架,2016/6/12
11001,骑行服,2015/7/20
11002,头盔,2015/8/27
11002,山地自行车,2013/7/10
11002,山地自行车,2015/7/4
11002,旅行自行车,2015/8/27
11003,山地自行车,2015/7/9
11003,山地自行车,2013/7/1
11003,帽子,2015/7/9
11003,旅行自行车,2015/11/11
11003,水壶和水壶架,2015/7/9
11003,水壶和水壶架,2015/7/9
11003,车胎和内胎,2015/11/11
11003,车胎和内胎,2015/11/11
11003,车胎和内胎,2015/11/11
11004,头盔,2015/11/2
11004,头盔,2015/7/26
11004,山地自行车,2013/7/26
11004,山地自行车,2015/7/26
11004,挡泥板,2015/7/26
11004,旅行自行车,2015/11/2
11005,山地自行车,2013/7/2
11005,山地自行车,2015/7/27
11005,旅行自行车,2015/11/3
11005,车胎和内胎,2015/7/27
11005,车胎和内胎,2015/7/27
11005,车胎和内胎,2015/7/27
11006,山地自行车,2013/7/27
11006,山地自行车,2015/7/2
11006,旅行自行车,2015/11/15
11006,水壶和水壶架,2015/7/2
11006,水壶和水壶架,2015/7/2
11007,头盔,2015/7/25
11007,头盔,2015/9/20
11007,山地自行车,2013/7/12
11007,山地自行车,2015/7/25
11007,挡泥板,2015/7/25
11007,旅行自行车,2015/9/20
11007,车胎和内胎,2015/7/25
11007,车胎和内胎,2015/7/25
11008,头盔,2015/9/3
11008,山地自行车,2015/7/7
11008,山地自行车,2013/7/28
11008,旅行自行车,2015/9/3
11008,水壶和水壶架,2015/7/7
11008,水壶和水壶架,2015/7/7
11008,车胎和内胎,2015/7/7
11009,头盔,2015/11/10
11009,山地自行车,2013/7/30
11009,山地自行车,2015/7/24
11009,旅行自行车,2015/11/10
11009,车胎和内胎,2015/7/24
11010,山地自行车,2013/7/17
11010,山地自行车,2015/7/15
11010,帽子,2015/11/24
11010,旅行自行车,2015/11/24
11011,山地自行车,2013/7/2
11011,山地自行车,2015/7/29
11011,旅行自行车,2015/9/20
11011,骑行服,2015/9/20
11012,头盔,2015/9/17
11012,车胎和内胎,2015/9/17
11012,车胎和内胎,2015/9/17
11012,车胎和内胎,2016/4/17
11012,车胎和内胎,2016/4/17
11013,头盔,2015/10/15
11013,头盔,2016/7/24
11013,车胎和内胎,2015/10/15
11013,车胎和内胎,2016/7/24
11013,车胎和内胎,2016/7/24
11014,头盔,2015/9/24
11014,头盔,2015/11/1
11014,手套,2015/11/1
11014,车胎和内胎,2015/9/24
11014,车胎和内胎,2015/11/1
11014,车胎和内胎,2015/11/1
11015,山地自行车,2015/7/22
11015,挡泥板,2015/7/22
11015,自行车支架,2015/7/22
11016,山地自行车,2015/8/13
11016,车胎和内胎,2015/8/13
11016,车胎和内胎,2015/8/13
11017,山地自行车,2013/7/15
11017,山地自行车,2015/7/5
11017,挡泥板,2015/7/5
11017,旅行自行车,2016/4/16
11018,头盔,2016/4/26
11018,山地自行车,2013/7/20
11018,山地自行车,2015/7/20
11018,挡泥板,2015/7/20
11018,旅行自行车,2016/4/26
11018,水壶和水壶架,2016/4/26
11018,水壶和水壶架,2016/4/26
11019,头盔,2015/9/14
11019,头盔,2016/4/28
11019,头盔,2016/7/15
11019,手套,2016/6/1
11019,手套,2016/7/15
11019,挂架,2015/11/26
11019,挂架,2016/7/14
11019,水壶和水壶架,2015/10/30
11019,短裤,2016/6/12
11019,袜子,2015/8/16
11019,袜子,2015/9/14
11019,车胎和内胎,2016/6/2
11019,车胎和内胎,2016/7/15
11019,车胎和内胎,2015/11/9
11019,车胎和内胎,2016/3/22
11019,车胎和内胎,2016/6/2
11019,车胎和内胎,2015/8/16
11019,车胎和内胎,2015/11/26
11019,车胎和内胎,2016/3/11
11019,车胎和内胎,2016/4/19
11019,车胎和内胎,2016/1/24
11019,车胎和内胎,2015/8/16
11019,车胎和内胎,2015/9/14
11019,车胎和内胎,2015/11/26
11019,车胎和内胎,2016/1/24
11019,车胎和内胎,2015/11/9
11019,车胎和内胎,2016/2/23
11019,车胎和内胎,2016/3/22
11019,车胎和内胎,2016/4/19
11019,车胎和内胎,2016/4/19
11019,骑行服,2016/6/12
11019,骑行服,2015/9/5
11019,骑行服,2016/6/1
11020,山地自行车,2015/7/2
11020,挡泥板,2015/7/2
11021,山地自行车,2015/7/27
11021,挡泥板,2015/7/27
11021,水袋背包,2015/7/27
11022,山地自行车,2015/7/24
11022,车胎和内胎,2015/7/24
11023,挡泥板,2015/8/21
11023,车胎和内胎,2015/8/21
11023,车胎和内胎,2015/8/21
11023,车胎和内胎,2016/7/17
11023,车胎和内胎,2016/7/17
11023,骑行服,2015/8/21
11024,清洁剂,2016/1/27
11024,车胎和内胎,2015/12/29
11024,车胎和内胎,2015/12/29
11024,车胎和内胎,2016/1/27
11024,车胎和内胎,2015/12/29
11024,车胎和内胎,2016/1/27
11025,山地自行车,2013/7/9
11025,山地自行车,2015/7/24
11025,挡泥板,2015/7/24
11025,旅行自行车,2016/4/27
11025,背心,2015/7/24
11025,骑行服,2016/4/27
