brand,count
一汽马自达,47.5
吉利汽车,9.6
一汽大众,8.285714285714286
广汽丰田,5.666666666666667
上汽大众,3.6
东风日产,3.2
一汽-大众奥迪,3.1666666666666665
广汽本田,3.0
东风雷诺,3.0
奇瑞汽车,2.8
北京现代,2.5714285714285716
领克汽车,2.5
东风标致,2.1666666666666665
上汽集团,2.142857142857143
广汽三菱,2.0
东风悦达起亚,2.0
华晨中华,2.0
长安马自达,2.0
东风雪铁龙,2.0
一汽丰田,2.0
上汽斯柯达,1.8333333333333333
东风本田,1.75
华晨宝马,1.6666666666666667
众泰汽车,1.625
长城汽车,1.5714285714285714
星途,1.5
南京依维柯,1.5
一汽奔腾,1.5
江铃福特,1.5
北京奔驰,1.3333333333333333
吉利新能源,1.3333333333333333
上汽通用五菱,1.2222222222222223
长安汽车,1.2
江淮汽车,1.0
雷克萨斯,1.0
汉腾汽车,1.0
比亚迪,1.0
江铃汽车,1.0
开瑞汽车,1.0
林肯（进口）,1.0
猎豹汽车,1.0
沃尔沃亚太,1.0
沃尔沃（进口）,1.0
玛莎拉蒂,1.0
广汽乘用车,1.0
绵阳金杯,1.0
观致汽车,1.0
长安标致雪铁龙DS,1.0
长安铃木,1.0
福田汽车,1.0
一汽解放,1.0
一汽吉林,1.0
北汽新能源,1.0
东南汽车,1.0
东风乘用车,1.0
东风小康,1.0
东风英菲尼迪,1.0
东风裕隆,1.0
东风风行,1.0
凯翼汽车,1.0
力帆汽车,1.0
北京汽车,1.0
北汽昌河,1.0
宝马（进口）,1.0
华晨鑫源,1.0
多士星,1.0
大众（进口）,1.0
一汽红旗,1.0
奇瑞捷豹路虎,1.0
奇瑞新能源,1.0
奔驰（进口）,1.0
奥迪（进口）,1.0
宝沃汽车,1.0
天津一汽,1.0
