brand,count
吉利汽车,96
一汽马自达,95
一汽大众,58
上汽大众,36
一汽-大众奥迪,19
北京现代,18
广汽丰田,17
东风日产,16
上汽集团,15
奇瑞汽车,14
众泰汽车,13
东风标致,13
广汽本田,12
一汽丰田,12
上汽斯柯达,11
上汽通用五菱,11
长城汽车,11
东风本田,7
长安汽车,6
东风雪铁龙,6
一汽奔腾,6
江淮汽车,6
华晨宝马,5
领克汽车,5
东风悦达起亚,4
吉利新能源,4
长安马自达,4
广汽三菱,4
北京奔驰,4
南京依维柯,3
江铃福特,3
星途,3
东风雷诺,3
奔驰（进口）,3
广汽乘用车,2
汉腾汽车,2
江铃汽车,2
福田汽车,2
长安铃木,2
雷克萨斯,2
宝马（进口）,2
宝沃汽车,2
大众（进口）,2
一汽吉林,2
东南汽车,2
一汽解放,2
东风乘用车,2
华晨中华,2
奇瑞捷豹路虎,2
力帆汽车,2
北京汽车,2
奇瑞新能源,1
东风裕隆,1
玛莎拉蒂,1
东风英菲尼迪,1
绵阳金杯,1
观致汽车,1
沃尔沃（进口）,1
长安标致雪铁龙DS,1
东风小康,1
猎豹汽车,1
凯翼汽车,1
沃尔沃亚太,1
东风风行,1
比亚迪,1
林肯（进口）,1
北汽新能源,1
开瑞汽车,1
北汽昌河,1
华晨鑫源,1
多士星,1
天津一汽,1
奥迪（进口）,1
一汽红旗,1
